26	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.04	0.04	0	|	25.0	0.10(25)	0.04(25)	|	2959	2959	2959	2959	2959	
26	5000	ok	|	1.00	1.00	0.98	1.92	0.96	0	|	shot	1.00	1.92	0	|	25.0	1.92(25)	1.92(25)	|	2959	2959	2959	2959	2959	
27	0	ok	|	0.09	1.00	1.00	0.10	0.00	0	|	rapi	0.07	0.07	0	|	45.0	0.10(45)	0.07(45)	|	4472	4472	4472	4472	4472	
27	5000	ok	|	1.00	1.00	1.00	4.68	0.78	1	|	inac	1.00	4.68	1	|	45.0	4.68(45)	4.68(45)	|	4472	4472	4472	4472	4472	
28	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.08	0.08	0	|	3.0	0.10(3)	0.08(3)	|	8233	8233	8233	8233	8233	
28	2527	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	8233	8233	8233	8233	8233	
29	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.10	0.10	0	|	77.0	0.10(77)	0.10(77)	|	9596	9596	9596	9596	9596	
29	1732	fail-0	|	0.00	1.00	1.00	0.00	NaN	0	|	rapi	0.00	0.00	0	|	NaN			|	9596	9596	9596	9596	9596	
30	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.01	0.01	0	|	-22.0	0.10(-22)	0.01(-22)	|	836	836	836	836	836	
30	5000	ok	|	1.00	1.00	0.79	7.31	0.73	3	|	inac	1.00	7.31	3	|	-22.0	7.31(-22)	7.31(-22)	|	836	836	836	836	836	
31	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.01	0.01	0	|	-98.0	0.10(-98)	0.01(-98)	|	9239	9239	9239	9239	9239	
31	5000	ok	|	1.00	1.00	0.90	4.31	0.72	1	|	inac	1.00	4.31	1	|	-98.0	4.31(-98)	4.31(-98)	|	9239	9239	9239	9239	9239	
32	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.01	0.01	0	|	-57.0	0.10(-57)	0.01(-57)	|	1496	1496	1496	1496	1496	
32	5000	ok	|	1.00	1.00	0.73	6.00	1.00	3	|	inac	1.00	6.00	3	|	-57.0	6.00(-57)	6.00(-57)	|	1496	1496	1496	1496	1496	
33	0	ok	|	0.10	1.00	1.00	0.10	0.00	0	|	rapi	0.07	0.07	0	|	-2.0	0.10(-2)	0.07(-2)	|	7312	7312	7312	7312	7312	
33	5000	ok	|	1.00	1.00	1.00	2.00	1.00	1	|	inac	1.00	2.00	1	|	-2.0	2.00(-2)	2.00(-2)	|	7312	7312	7312	7312	7312	
